,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,9.7,223.1,0,5.3,0,32,0,16.5,0,6.4,9.7,15.8,0,16.9,0,21,0,19.6,0,37.6,0,3.4,0,37.4,0,11.1
MANUFACTURAS DE PIELES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANUFACTURAS DIVERSAS,3.1,3445.9,0.1,112.5,0.4,299.3,0,311.2,0,281.7,2.3,730.5,0.1,235.6,0,371,0.1,251.9,0,86.1,0,252.4,0,175.2,0.1,338.3
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,114.6,30362.7,0,2497,0.4,2843,0.4,6196.6,0,1699.2,19.3,2460.3,0,2316.2,0,2772.9,0,1824.2,0,1834.9,1.5,1280.4,0.4,2064.7,92.6,2573.3
MATERIALES PLASTICOS Y SUS MANUFACTURAS,22.5,18697.8,0.1,1171.9,1.6,968.5,0.1,1244,0,1423.5,0,1398.3,0,837.4,0,2077.4,2.2,1624.7,18.3,1485.9,0.2,2041.3,0.1,1810,0,2615
MATERIALES TEXTILES (TEJIDOS O TELAS),9,40827.7,0,5463.8,0,3690.5,1.5,4859.3,0,3675.4,3.1,3546.3,0.5,2899.5,0,2979.5,0,2485.9,0.1,2604.9,0.2,2843.2,0.2,3842.8,3.3,1936.6
MELAZAS DE AZUCAR,3263.1,0,0,0,1085,0,2178.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTA DE ALGODON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",11.2,576.9,0.3,59.8,1.4,22.3,0.1,48.8,0,26.1,2.9,42,0,26.4,0,108.8,0,33.7,0,34.3,5.1,74.8,0.5,33.4,0.9,66.5
NEUMATICOS Y TUBOS,0,5662.8,0,580.8,0,271.1,0,611,0,818.7,0,575.6,0,560.4,0,487.8,0,271.2,0,488.5,0,549.2,0,288,0,160.5
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",0,5.3,0,4.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.9,0,0,0,0,0,0,0,0
OTRAS MANUFACTURAS DE METALES COMUNES,14.7,2428.6,0.3,261.3,0.3,293.5,7.3,301.7,0,203.5,0.2,212.7,0,197.5,0,117,0,187,0,138.7,0.1,200.8,0.1,229.5,6.4,85.3
OTROS ACEITES ESENCIALES,0,100.9,0,0,0,6.9,0,0,0,41.2,0,0,0,0,0,0,0,0,0,0,0,40.6,0,12.3,0,0
PAPEL Y CARTON,461.7,1843.6,39.5,54.6,40.6,106.2,251.3,13.4,0,111.8,0,331,73.5,210,56.8,146.2,0,129.4,0,112.4,0,330.1,0,195.5,0,103.1
PESCADO Y MOLUSCOS,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.2,0,0
PIELES Y CUEROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINTURAS Y BARNICES,183.1,13547.1,0,1018.2,0,875.8,0,1564.4,0,1729.9,117.7,576.3,0,1363.1,0,1561.2,0,980.2,0,906.6,0,865.2,0,1275.1,65.4,831.1
"POLVORA, EXPLOSIVOS Y ARTICULOS DE PIROTECNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PREPARADOS A BASE DE CEREALES,0,245.1,0,29.5,0,7,0,18.5,0,49.2,0,45.6,0,14,0,9,0,9.8,0,13.7,0,29.8,0,14.1,0,5
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",0,441,0,15.7,0,22.4,0,50.5,0,22.2,0,33.8,0,17.4,0,23.9,0,61.2,0,41.4,0,96.2,0,23.6,0,32.7
PREPARADOS DE LEGUMBRES Y HORTALIZAS,0,1.8,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.9,0,0.2,0,0,0,0.1,0,0.3,0,0
PREPARADOS DE FRUTAS,9,225.9,0,39.3,0,2.6,9,52,0,9,0,43,0,8.4,0,3.8,0,10.6,0,11,0,14,0,13.4,0,18.7
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",1.3,137.6,0,0,0,11.9,0,0.3,0,18.4,0,13.3,0.1,4.4,0,2.9,0,7.5,0,5.4,0,54.6,1.1,13.7,0.1,5.3
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,0.8,9156.9,0,604.5,0.8,879.1,0,623.4,0,478.3,0,786.4,0,553.4,0,747.3,0,679.2,0,1084.4,0,1168,0,756.5,0,796.2
PRODUCTOS FARMACEUTICOS,0,3618.4,0,534.1,0,162.1,0,292.9,0,100.2,0,308.8,0,322.5,0,243,0,582.4,0,221.5,0,168.4,0,504.7,0,177.7
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,0,81.4,0,2.6,0,0,0,17.8,0,0.7,0,1.4,0,58.7,0,0,0,0.2,0,0,0,0,0,0,0,0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",1.2,66.9,0.2,0.2,0.3,20.4,0,2.1,0,2.5,0.1,0.8,0,0.3,0,19.9,0,3.8,0,8.7,0.2,0.2,0.4,6.4,0.1,1.5
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",0,160.9,0,9,0,0.4,0,32.6,0,0.5,0,5.7,0,3.6,0,24.2,0,39.8,0,5.6,0,24.4,0,11.6,0,3.6
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",0.2,26.8,0,0,0.1,0.7,0,19.6,0,0.3,0,0.5,0,0.5,0,1.6,0.1,0.7,0,2.4,0,0,0,0.1,0,0.2
TABACO ELABORADO,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5
TORTA DE SEMILLA DE ALGODON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBERIA Y SUS ACCESORIOS,0.6,1584.8,0,120.3,0,128.2,0,244.8,0,45.5,0,48.2,0,119.7,0,125.3,0,104.6,0,117.3,0,318.6,0,156.7,0.6,55.4
VEHICULOS Y MATERIAL DE TRANSPORTE,40.1,77273.3,0.6,7043.2,17.4,10203.3,11.5,7765.1,0,5192.2,0.1,4244.9,0,6136.5,0,3575.5,0,11057,6.8,1814.8,0.2,8677.7,3.3,5176.8,0.2,6386.5
VIDRIO Y SUS MANUFACTURAS,0.7,93.6,0,8.2,0,9,0,19.4,0,4.5,0.2,2.5,0,2.1,0,7.9,0,5.1,0,12.3,0.3,4.6,0.1,0.8,0.1,17.2
