	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
NEUMATICOS Y TUBOS	19908.1	7.3	1623.9	0	1959.7	0	1462.4	0	1480.7	7.3	1472.9	0	1161.4	0	1815.5	0	1463.5	0	1944	0	2088.7	0	1555	0	1880.3	0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	163.6	9.8	6.2	0.5	5.4	0.8	32.6	0.4	8.6	0.5	18.6	0.7	19.6	1.6	18.2	0.8	17.4	0.9	11.4	1.7	5.8	0.5	15.2	0.9	4.7	0.3
OTRAS MANUFACTURAS DE METALES COMUNES	28404.2	1426.8	3506.5	149.8	2814.7	70.9	2024.4	151.2	2332.1	128.8	3063.8	146.4	1547.2	132.8	2267.7	86.2	2678	96.4	1903.5	135.6	2598.2	114.4	1626.5	110	2041.5	104.2
OTROS ACEITES ESENCIALES	1876	747.7	127.2	64	140.8	17.5	123.8	110.8	205.5	0	197.7	29.1	207.1	87.4	196.1	62.8	132.9	117.6	161.2	124.1	147	56.9	136.4	32	100.3	45.5
PAPEL Y CARTON	144618.1	78.5	11026.3	14.8	11760	0.3	13240.8	2.3	10813.9	0.4	11032	15.3	10732.1	16.3	10962.1	0.2	15487.9	0.2	11758.6	0.3	13321.5	23.6	11657.7	2.4	12825.1	2.2
PESCADO Y MOLUSCOS	3473.6	6061.9	268.9	525.7	400.6	477.3	278.1	489.4	232.1	818.8	801.1	409.7	159.1	322.9	265.4	640.9	262.4	543.8	178.7	890.8	158.7	361.5	267.5	358.7	200.9	222.3
PINTURAS Y BARNICES	25466	204	1950.7	1.9	2326.4	10.7	2192.3	0.9	1511	27.3	1597.2	59.7	2347.8	13.8	2268.7	47.5	2150.8	21.7	1888.5	0	2176.3	14.6	2831.4	0	2224.8	5.9
"POLVORA, EXPLOSIVOS Y ARTICULOS DE PIROTECNIA"	100.8	0	4.9	0	0	0	7.4	0	0	0	0	0	8.8	0	5.3	0	0	0	0	0	12.1	0	3.2	0	59	0
PREPARADOS A BASE DE CEREALES	23663.9	3283.8	1689.1	150.6	1783.8	237.2	2083.5	358.4	2021.1	227.2	1985.2	366	2373	185.5	2571.5	199.4	2017.6	323	2069.1	366.6	1955.6	227	1623.6	375.9	1490.7	267
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	18742.3	14057.6	1517.3	899.5	1731.1	1387.9	1945.1	1186.9	1285.2	1136.5	1308.8	1392.6	1511.9	902.5	1534	928.8	1544.9	1197.1	1565.3	1548.2	1814	1074	1472.3	975.6	1512.5	1427.9
