,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
PINTURAS Y BARNICES,"3,711.40","12,224.90",321.2,512.70,305.8,905.3,292.30,"1,052.80",270.8,"1,299.00",370.30,"1,351.30",287.6,853.7,423.20,947.2,163,"1,029.00",276.10,"1,124.60",401.50,"1,155.40",253.50,758.4,346.1,"1,235.50"
PREPARADOS A BASE DE CEREALES,"21,144.10","28,128.30","1,711.00","2,305.60","1,591.80","2,831.60","1,914.70","2,512.90","1,691.20","2,238.90","1,573.30","2,452.20","1,548.60","2,336.10","1,949.00","2,342.80","1,861.50","2,445.20","1,547.70","2,065.30","2,062.70","2,680.20","1,573.00","2,066.90","2,119.50","1,850.60"
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS","8,008.20","6,832.50",388.6,"1,094.00",561.10,"1,076.00",466.40,795.80,553.30,434.30,340.60,314.40,584.60,270.4,920.10,729.20,922.40,241.90,770.30,504.00,762.30,549.70,572.00,224.40,"1,166.60",598.60
PREPARADOS DE LEGUMBRES Y HORTALIZAS,"9,399.70","1,295.70",677.50,69.40,819.70,89.50,852.00,157.60,826.50,133.60,608.10,77.40,632.60,83.8,"1,007.70",109.2,494.50,77.9,569.60,99.3,700.70,95.7,963.40,156.1,"1,247.30",146.30
PREPARADOS DE FRUTAS,"4,712.50","5,057.40",247.60,386.70,627.40,347.90,452.50,374.00,426.10,508.50,352.00,357.70,402.40,422.00,357.20,556.00,323.10,308.00,303.00,445.80,351.60,469.10,296.40,402.80,573.30,478.80
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS","6,407.70","3,192.80",418.50,156.10,543.00,216.60,579.90,128.70,417.40,250.00,570.00,330.30,550.70,356.20,543.00,184.10,412.00,391.40,586.50,402.10,522.20,354.80,572.30,238.70,692.20,183.80
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,"8,965.00","13,395.30",909.60,811.80,676.30,"1,213.80",663.20,721.60,638.20,"1,013.80",695.60,"1,086.10",982.30,"1,346.70",701.60,831.20,845.00,"1,319.10",756.30,"1,150.30",768.80,"1,224.30",694.70,"1,483.30",633.50,"1,193.40"
PRODUCTOS FARMACEUTICOS,"47,527.70","32,115.10","4,839.40","1,363.60","3,561.70","3,072.10","2,439.60","2,150.60","4,395.30","3,062.00","3,376.90","3,170.70","5,086.70","3,225.70","2,649.80","2,538.20","2,605.70","3,842.00","3,569.00","1,872.60","3,978.80","2,919.90","8,235.20","3,897.70","2,789.70","1,000.20"
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,15.20,86.70,2.80,1.20,0.00,49.50,0.00,0.40,3.70,11.60,1.20,0.70,0.00,12.80,3.10,7.30,0.00,1.70,4.40,0.00,0.00,0.80,0.00,0.60,0.00,0.10
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O","2,129.60",188.20,143.70,58.90,107.50,18.00,154.30,6.90,172.30,9.90,121.60,23.40,139.40,3.90,159.40,10.80,158.20,9.60,177.00,15.40,359.70,9.90,182.20,3.50,254.40,17.90
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS","8,536.40","32,708.20",618.60,"2,202.50",769.60,"2,456.10",763.40,"2,874.30",631.10,"2,455.70",560.60,"2,892.80",826.90,"2,579.00",780.70,"2,418.80",599.30,"2,550.10",774.20,"3,049.60",726.50,"3,379.40",684.60,"2,834.70",801.10,"3,015.20"
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",61.00,198.70,0.70,7.40,6.40,17.80,3.10,1.50,0.80,14.50,4.60,10.60,7.80,21.40,0.80,2.40,5.00,11.40,26.50,41.60,2.60,29.80,1.60,9.90,1.30,30.40
TABACO ELABORADO,0.00,"4,809.10",0.00,0.00,0.00,452.00,0.00,447.50,0.00,164.60,0.00,596.70,0.00,556.30,0.00,581.80,0.00,173.60,0.00,583.20,0.00,610.80,0.00,388.90,0.00,253.80
TUBERIA Y SUS ACCESORIOS,"19,114.20","6,423.30","1,421.60",350.70,"1,455.50",673.30,"1,815.00","1,202.80","1,223.90",774.40,"1,630.50",566.70,"2,003.60",578.80,"2,154.80",362.10,"1,472.00",384.90,"1,731.40",380.90,"1,152.90",458.50,"1,381.10",329.30,"1,672.10",360.70
VEHICULOS Y MATERIAL DE TRANSPORTE,"3,949.10","4,498.10",455.90,327.8,360.40,438.4,263.40,306.9,437.00,210.2,319.70,143.6,132.90,357.9,480.90,183.30,215.10,199.2,439.20,785,209.40,663.30,349.60,243.4,285.60,639.1
VIDRIO Y SUS MANUFACTURAS,"8,528.60","11,114.60",559.80,720.70,452.60,"1,355.30",773.00,"1,649.30",757.20,460.7,943.90,"1,163.60",860.20,746.1,709.00,767.7,497.00,483.8,"1,285.10",607.4,258.80,"1,367.90",798.00,"1,153.00",634.00,639.1
INDUSTRIAS EXTRACTIVAS,"12,112.50","14,983.00","1,122.90",870.40,"1,129.10","1,297.70","1,240.40","1,128.20","1,174.80","1,284.10","1,185.80","1,574.00","1,226.40","1,578.10","1,187.60","1,013.60",913.00,"1,404.00",658.20,"1,535.50",601.40,"1,139.20",624.60,907.40,"1,048.30","1,250.70"
ALUMINIO,"1,949.50","5,407.10",455.30,361.90,430.50,477.80,447.80,504.30,190.10,479.70,0.70,511.10,2.20,418.00,18.30,360.70,0.40,578.80,40.40,507.10,69.70,296.20,0.30,438.90,293.70,472.60
CEMENTO,3.20,27.10,0,0,0.20,0.00,0.50,0.00,0.00,0,0.00,27.10,0,0.00,0,0,0,0.00,0,0,0.00,0.00,2.50,0.00,0,0.00
COBRE Y SUS MANUFACTURAS,19.70,148.90,0.00,12.6,0.00,8.3,0.00,14.00,9.90,37.7,0.30,0,3.80,7.50,0.00,29.20,0.00,0.5,0.00,10.2,5.60,12.1,0.00,6.9,0.00,9.90
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA),0.00,"1,547.90",0.00,12.70,0.00,21.30,0.00,42.30,0.00,49.40,0.00,58.60,0.00,255.00,0.00,101.40,0.00,152.50,0.00,182.5,0.00,255,0.00,244.4,0.00,172.7
GASES INDUSTRIALES,221.40,314.60,29.70,42.4,48.10,43.30,13.1,22.20,0.00,22.20,25.40,22.20,26.50,44.30,20.80,22.20,14.80,44.3,35.60,2.10,0.00,27.2,7.40,22.20,0.00,0.00
GASOLINA,923.10,14.20,123.40,0.20,49.40,0.00,48.90,0.60,135.10,1.70,75.50,1.30,103.60,0.00,43.30,0.00,108.80,3.80,36.30,0.20,72.60,2.20,54.50,3.70,71.70,0.40
HIERRO Y ACERO,"3,528.60","6,688.70",257,346.3,193.80,640.8,329.90,511.4,359.4,608.5,309.2,913.6,415.3,732.7,395.8,447.9,294.6,575.2,249.5,770.3,191.8,492.9,217.1,143.8,315.2,505.2
MAGNESIO,87.40,14.30,0.00,3,7.20,4.4,2.60,0.9,12.8,6,5.3,0,17.9,0,4.7,0,7.3,0,0.7,0,5.3,0,10.6,0,13.2,0
OTROS DERIVADOS DE PETROLEO,364.80,591.60,24.7,80.1,32.4,95.6,20.5,13.5,28.3,75,34.5,35.7,48.90,54.50,43.7,42.30,21.20,27.3,41.10,57.1,27.9,28.2,29.7,32.6,11.9,49.6
PLOMO,8.20,0.00,0,0.00,8.2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0
PRODUCTOS MINERALES DIVERSOS,"4,116.50",143.20,232.8,11.2,359.40,0.5,377.00,14.9,439.30,1.4,505.70,1.7,530.80,65.30,310.70,1.80,234.6,15.30,254.60,4.4,228.50,10.3,300.60,6.6,342.50,9.6
