,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
PESCADO Y MOLUSCOS,0,19243.5,0,9.5,0,856.2,0,1853,0,4024.5,0,2206.3,0,4289.4,0,1051.4,0,10.4,0,2261.3,0,2158.3,0,507.4,0,15.7
PIELES Y CUEROS,0,299.6,0,45.1,0,29.4,0,60.1,0,30.1,0,30.1,0,41.1,0,0,0,19.3,0,17.7,0,9.6,0,9.6,0,7.6
PINTURAS Y BARNICES,7899.6,856.4,474.8,23,293.1,179.2,526.7,17.5,504.1,23.2,496.8,4.6,400,84.8,464.7,65.7,615.6,113.9,702.3,136,1417.2,58.5,1137.6,60.1,866.8,89.9
PREPARADOS A BASE DE CEREALES,20372.8,5043.2,1279.7,306.6,1702.5,193.3,1604.4,829,1594,529.2,1636.7,409,1778.8,171.2,2005.1,267.5,1635.7,827.1,1689.1,436.9,1967.7,527.9,1610.1,119.6,1869,425.7
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",3115.7,571.1,248.8,0.1,325.3,108.9,265.9,0.7,254.8,7.8,277.1,116.2,205.9,2.1,294.8,131,173.5,0.2,269.9,16.2,224.2,6.3,186.9,81.2,388.4,100.4
PREPARADOS DE LEGUMBRES Y HORTALIZAS,907.1,27.4,32.4,17.7,64.5,0,89,0,59.2,0,101.1,0,94.7,0,87.5,0,49.3,9.7,74.1,0,103.7,0,89,0,62.9,0
PREPARADOS DE FRUTAS,6397.7,38.2,407.1,35.8,717.7,0,501.5,0.2,483.7,0,568.7,0.2,472.9,0.3,754.5,1.6,463.9,0,473.6,0,524.2,0,723.5,0,306.6,0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",14362,8521,1046.7,344.7,1290.1,948,1099.6,742.2,1096.5,1076.8,1561.6,409.9,1481,764.3,824.5,785.1,1144.5,525.3,1598.6,881.9,1436.9,786.4,869.3,739,912.7,517.4
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,4223.2,5374.7,398.3,406.2,350.7,425.4,390.9,529.3,359,463.5,356,604.5,385.9,307.8,344.7,396.8,400.2,410.3,404.6,535.3,219.5,418.4,346,419.7,267.3,457.7
PRODUCTOS FARMACEUTICOS,64122.5,236768.5,5072.2,14711.2,5100.4,21768.2,5103.5,17285.1,4212.8,22500,6814,20249.6,5803,22625.8,5765.7,16839.3,5063.1,21899.5,10608.4,18976,4809.1,21857.4,2981.4,22346.6,2789.1,15709.8
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,1.6,1138.9,0,76.6,0,109,0,84.8,0,63.8,1.6,72.3,0,95.5,0,86.6,0,133.8,0,114.2,0,85,0,128.1,0,89.3
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",186,1092,2.4,91.8,6.2,93.1,23.5,61.3,34.3,106,5.9,90.6,60.1,75.6,10.4,123.3,5.1,137.1,12.8,44.8,5.7,50,8.9,118.7,10.8,99.7
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",3145.1,21.6,201.9,1.9,245.5,0,281.8,0,234.7,0.3,288.8,0,228.3,0.1,254.7,0.1,254.2,0.7,268.4,18.4,238.3,0,394.9,0,253.7,0.2
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",56.2,820.8,2.1,26,0.1,111.3,0.9,102.1,2.9,111.4,2.4,126.2,4.1,22.2,18.3,46.6,10.2,62,1.3,51.8,2.4,57.8,10.1,43.9,1.5,59.6
TABACO ELABORADO,0,446,0,0,0,75.6,0,45.5,0,74.4,0,0,0,54.7,0,37.5,0,0,0,83.6,0,34.7,0,40,0,0
TUBERIA Y SUS ACCESORIOS,208.1,1655.1,7.5,81.1,32.4,161.1,1.2,83.5,10.7,145.8,17.1,149.7,16.2,74.4,46.7,237.8,9.6,148.3,30.1,155.4,6.6,176.6,8.8,110.9,21.1,130.5
VEHICULOS Y MATERIAL DE TRANSPORTE,2111.6,13078.4,9.8,476.1,18.7,620.6,714.7,835.6,328.1,1264.6,78.3,467.4,156.3,556.2,50.3,995.6,158.8,659.5,5.1,1408.8,483.5,854.1,107.1,797.8,0.9,4142
VIDRIO Y SUS MANUFACTURAS,5736.9,1115.7,238.3,104.1,588.9,165.9,763,87.9,377.8,134.6,511.9,67.2,253.2,84.5,498.6,52.9,689,85.4,873.7,149.4,681.8,80.6,135.4,72.7,125.4,30.6
INDUSTRIAS EXTRACTIVAS,14710.7,40665.7,1440.2,8.5,1564.7,67.5,1890,11970.5,1298.7,3385.6,1206.6,2875.1,1206.9,3617.7,1495.3,4781.4,890.5,44.5,1195.9,122.5,557.4,9602.1,693.6,4161.1,1271,29.3
ALUMINIO,11666.2,193,1280.1,6.7,1378.9,24.9,1250.8,1.7,1185.4,20.2,850.5,14.2,979.6,21.1,859.3,18.6,859.7,20.7,897.1,32.6,393.8,2.3,660.7,14.9,1070.4,15
CEMENTO,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0
COBRE Y SUS MANUFACTURAS,36.4,28.7,0,0.1,0,8.8,0,0.3,0,0.2,0,6,0,1.6,0,1.6,0,2.8,0,0.7,0,0,0,6.5,36.4,0.1
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA),43.8,87.1,0,0,0,21.4,0,7.5,0,8.2,0,8.8,37.6,4.2,0,0,0,0,0,0,0,37,0,0,6.2,0
DIESEL,1814.1,11996.5,80,0,146.2,0,541.9,11959.6,81.8,32.6,280.6,0,146,4.3,37.2,0,20.8,0,223.5,0,154.5,0,0,0,101.6,0
ESTA&O,0,4.5,0,0,0,0.1,0,0,0,1.4,0,1,0,0,0,0.4,0,0.6,0,0.4,0,0.6,0,0,0,0
GASES INDUSTRIALES,0.8,24.6,0,0,0.8,0,0,0,0,0,0,2.4,0,0,0,18.7,0,0,0,0,0,0,0,0,0,3.5
GASOLINA,1.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.2
GAS PROPANO,0,9516.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9516.3,0,0,0,0
HIERRO Y ACERO,16.4,119.6,0,0.5,2.7,8.9,2.6,0.1,2,18.9,8.9,0.1,0,4.8,0,8.8,0.1,17.6,0,6.1,0,38.4,0,11.4,0,4
KEROSENE,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1.7,0
MAGNESIO,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0
OTROS DERIVADOS DE PETROLEO,124.1,18606.7,7.4,0.8,22,1,15.1,1.2,2.6,3302.3,12.3,2840.4,8.4,3581.7,3.1,4723.8,7.9,0.8,34.6,13.6,1.7,7.7,7.5,4127,1.6,6.3
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,0.6,8.7,0,0.4,0,2.2,0,0,0,1.8,0.6,0,0,0,0,0.5,0,2.1,0,0.6,0,0,0,0.9,0,0.3
PRODUCTOS MINERALES DIVERSOS,262.5,4.5,72.7,0.1,14.2,0.1,26.3,0,9.9,0,13.1,2,35.3,0,12.2,0,1.9,0,28.7,2.4,7.5,0,25.3,0,15.4,0
ZINC,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
PRODUCTOS NO ESPECIFICADOS,730.1,65.9,0,0,0,0,53.3,0,17,0,40.6,0,0,0,583.5,0,0,0,0,65.9,0,0,0,0,35.7,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
