,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TUBERIA Y SUS ACCESORIOS,875.6,0,6.7,0,0,0,73,0,6.5,0,62.5,0,101.3,0,23.4,0,14.5,0,403,0,144,0,24.2,0,16.7,0
VEHICULOS Y MATERIAL DE TRANSPORTE,2302.7,199.2,198,0,175.5,0,135.6,0,103.2,0,233.7,0,263.1,0,384.3,9.3,118.7,0,108.9,0.1,148.8,188.8,177.8,0.1,255,1
VIDRIO Y SUS MANUFACTURAS,7,267.5,0,19.3,0,88.4,0,118.2,0.1,0,0.1,0.1,0,22.1,0,0,0.2,9.5,0,10,2.5,0,3.7,0.1,0.3,0
INDUSTRIAS EXTRACTIVAS,2371.6,2,167,0,81.9,0,32.7,0,30.1,0,307.1,0,306.8,1.8,723.8,0,139.8,0,149.8,0,77.1,0,131.3,0,224.2,0
ALUMINIO,24.8,1.9,0,0,0,0,0,0,0,0,0.2,0,0,1.8,21.7,0,0,0,0,0,2.9,0,0,0,0,0
HIERRO Y ACERO,361.8,0,0,0,0,0,11.8,0,0,0,104,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0
MARMOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIQUEL,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTROS DERIVADOS DE PETROLEO,335.2,0,52.2,0,0,0,0,0,0,0,107,0,0,0,0.3,0,57.7,0,0,0,0,0,0,0,117.9,0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
PRODUCTOS MINERALES DIVERSOS,1647.7,0,114.8,0,81.9,0,21,0,30.1,0,95.8,0,306.8,0,455.8,0,82.1,0,149.8,0,74.2,0,131.3,0,104.3,0
