	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	21.4	0.4	3.8	0	0	0	1	0	0.3	0.1	0.2	0	1	0	0.4	0.3	3.8	0	4.7	0	1.4	0	2	0	2.6	0
TUBERIA Y SUS ACCESORIOS	812.9	0	24.2	0	7.8	0	10	0	85.7	0	33.1	0	109.7	0	25.6	0	177	0	19.1	0	14.7	0	41.8	0	264.4	0
VEHICULOS Y MATERIAL DE TRANSPORTE	5890.5	0.7	211.3	0.2	195.4	0	186.9	0	356.1	0	421.5	0	280.2	0	1008.8	0	649.3	0.2	370.6	0	477.7	0	1139.8	0.2	593	0.1
VIDRIO Y SUS MANUFACTURAS	301.4	445.1	7.4	29.3	0.4	0	0.5	127.9	2.8	95.5	35.7	14.6	9.3	0	21.3	0	10.6	120.8	45.9	0.1	27.2	12	74.5	29.7	65.8	15.1
INDUSTRIAS EXTRACTIVAS	1453	87292.2	29.8	11682.6	81	5090.5	21.5	5736.9	92.6	5828.3	126.8	4725.7	103.2	8735.5	179.7	5165.6	302.1	4258	253.1	5904.6	44.3	8042.8	109.5	13008.9	109.6	9112.8
ALUMINIO	56.4	0	1.9	0	16.9	0	0	0	1.9	0	0	0	12.6	0	4.7	0	1.4	0	0.5	0	2.5	0	5.8	0	8.1	0
COBRE Y SUS MANUFACTURAS	12.2	0	0	0	8.1	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0
HIERRO Y ACERO	48.1	0	0.2	0	0	0	0	0	0	0	43.8	0	0	0	0	0	1.2	0	3	0	0	0	0	0	0	0
OTROS DERIVADOS DE PETROLEO	145.3	0	0	0	0	0	0	0	0.9	0	0.6	0	0	0	0	0	77.3	0	46.7	0	0	0	0	0	19.8	0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	0	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7	0	0	0	0	0	0	0	0
PLOMO	0	81680.6	0	11236.1	0	4642.5	0	5393.8	0	5024.5	0	4238	0	7906.1	0	4667.9	0	3929.3	0	5554.5	0	7480.8	0	12600.3	0	9006.7
PRODUCTOS MINERALES DIVERSOS	1191	0.1	27.7	0	56	0	21.5	0	89.7	0.1	79.2	0	90.7	0	175	0	222.2	0	202.9	0	41	0	103.7	0	81.6	0
ZINC	0	5596.8	0	446.5	0	448	0	343.1	0	803.7	0	487.7	0	829.4	0	497.7	0	314	0	350.1	0	562	0	408.6	0	106
