,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,0,38.1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,3.1,0,0,0,0,0,0,0,0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",3.4,28,0,4.8,0.1,0.7,0,0.1,0.5,7.1,0.3,4.2,1.2,0.6,0.8,0.4,0.1,0.5,0,4.8,0,0.5,0,4.2,0.5,0.1
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",0,108.6,0,5.9,0,2.4,0,12.8,0,11.8,0,0,0,11,0,4.1,0,7.8,0,5.5,0,0,0,14.2,0,33.1
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",4.3,181,0,12.5,0,5.3,0,12.1,0,39.3,3,2.3,0,7.8,0,17.4,0.3,13.9,0,11.8,0,1.6,0,16.8,0.9,40.3
TUBERIA Y SUS ACCESORIOS,12.8,4602.2,0,825.4,0,204.7,0,190.6,1,576.6,0,720.2,0,250,0,154,0,426,6.8,356.5,0,238,1.1,443.9,3.9,216.4
VEHICULOS Y MATERIAL DE TRANSPORTE,316.3,51569.8,44.2,7562.7,5.6,4390.4,5.6,2551.3,72.7,3919,0,4440.4,6.1,5490.1,43.5,3046.1,3.8,5208.5,29.1,3012.2,0.8,3023.3,11.9,4436.3,93.1,4489.5
VIDRIO Y SUS MANUFACTURAS,1.3,607.8,0,99.8,0,18.7,0,14.2,0,42.9,0,74.4,0.1,65.6,0.1,26.4,0.3,73.8,0.4,50.3,0,52.6,0,74.2,0.4,15
INDUSTRIAS EXTRACTIVAS,1562.7,4749.4,0,412,364.2,369.3,375.8,234.4,584.4,593.8,170.1,448.8,18.3,357.1,3.4,536.7,19.2,381,0.3,194.1,0,403.9,21.8,312.6,5.2,505.8
ALUMINIO,3.5,1352.9,0,156.1,0,22.7,0,55.6,0,171,0,152.9,0,88.1,0,317.1,0,5.2,0.3,19.4,0,117,0,90.2,3.2,157.6
CEMENTO,0,35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2,0,0,0,0
COBRE Y SUS MANUFACTURAS,83.5,183,0,12.1,2.9,13.3,0,12.5,18,22.7,0,20,18.3,4,3.4,45.8,19.2,16.9,0,13.3,0,11.9,21.7,5.9,0,4.5
ESTA&O,0,13.2,0,1.9,0,0,0,0,0,0,0,0,0,0,0,6.6,0,4.7,0,0,0,0,0,0,0,0
GASES INDUSTRIALES,0,173.3,0,2.8,0,31.6,0,6.4,0,22.9,0,3,0,13.2,0,35.5,0,11.1,0,12.2,0,14,0,4.4,0,16.1
