	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA)	625.4	0	40.8	0	35.5	0	34.3	0	52.3	0	50.3	0	38.4	0	60	0	56.8	0	98.1	0	124.1	0	35	0	0	0
DIESEL	5225.5	0	0	0	0	0	0	0	193.6	0	3908.3	0	174.7	0	172.2	0	153.8	0	33	0	133.4	0	251.2	0	205.2	0
ESTA&O	8.4	0	0.4	0	0.2	0	0.2	0	3.1	0	0.6	0	0.7	0	0.6	0	0.3	0	0.9	0	0.7	0	0.3	0	0.4	0
GASES INDUSTRIALES	20299.2	19.8	1584.1	0	1505.5	0	814.4	0	1596.4	0	1678.2	0	1600.9	0	2007.1	0	1991.1	0	1656.3	0	2176.5	19.8	1977.7	0	1711.2	0
GASOLINA	642.6	0	0	0	0	0	0	0	114.4	0	500.2	0	3.3	0	0	0	0	0	18.5	0	6.1	0	0	0	0	0
HIERRO Y ACERO	89743.9	778.4	14815.1	7.1	8990.9	0.2	8921.4	7.2	9287.3	8.8	7991	18.2	8866.5	0	6556.5	645.5	6172.2	6.1	3546.8	0	5743	14.9	5946.4	70.3	2907	0
MAGNESIO	36.2	19.7	0	0	0	0	0	0	9.4	6.2	0	0	0.9	0	7.4	0	4	3.4	0	3.4	5.3	3.4	0	0	9.2	3.4
MARMOL	426.4	59.1	42.9	13.1	26.4	10.1	40.2	9.2	39.1	0	22	0	38.2	17.1	56.1	9.5	61.6	0	19	0	17	0	32.5	0	31.4	0.1
NIQUEL	11.9	0	0	0	0	0	4.3	0	0	0	2.9	0	2.6	0	0	0	2.1	0	0	0	0	0	0	0	0	0
OTROS DERIVADOS DE PETROLEO	11811.4	172.6	129.7	0	161.4	0	82.5	49	188.9	0	727	0	1133.4	0.2	2204.1	0	248.6	119.2	1985	0	1976.9	0	1967.6	0	1006.3	4.2
OTROS METALES COMUNES	3.8	0	1.2	0	0	0	0.3	0	0	0	0	0	1.6	0	0	0	0.4	0	0.3	0	0	0	0	0	0	0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	50.5	125616.1	0.5	10725.4	11	13414.5	0.1	11676	0	13000.6	3.4	17153.2	0	2292	5.2	1892.1	3.6	18397.5	7.5	10349.9	4.1	7925.6	9.6	7416	5.5	11373.2
PLOMO	225.5	0	0	0	0	0	53.2	0	8.7	0	4.6	0	14.1	0	6.3	0	54.7	0	23	0	0.1	0	60.8	0	0	0
PRODUCTOS MINERALES DIVERSOS	11902	185.1	1697.4	20.3	346.2	13.9	330.1	20.3	559	61.5	546.4	24.2	900.9	6.9	1208.9	0	1241.2	20.7	940	0	1702.5	13.5	734.4	0	1695	3.8
ZINC	11820.6	0	964	0	1024	0	1654.9	0	1505.1	0	1660.2	0	1053.4	0	888	0	517.2	0	818.8	0	726.4	0	840.7	0	167.7	0
PRODUCTOS NO ESPECIFICADOS	230.5	0	53.7	0	0	0	0	0	58.6	0	0	0	0	0	57.8	0	0	0	0	0	0	0	60.4	0	0	0
