,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,"7,517.60","147,442.40",749.00,"11,406.30",217.40,"9,237.10",186.60,"10,057.10",552.90,"12,280.10",245.20,"11,825.70",372.10,"10,741.60",911.40,"11,347.90",767.50,"14,722.20",629.40,"9,754.40","1,134.30","18,376.10",693.90,"18,023.10","1,058.00","9,670.70"
MATERIALES PLASTICOS Y SUS MANUFACTURAS,"16,659.30","151,017.70","1,245.10","9,790.60","1,285.50","10,912.90","1,738.50","12,727.00","1,322.90","14,624.00","1,273.30","13,838.30","1,197.30","12,389.70","1,509.40","14,792.20","1,640.70","14,841.80","1,680.80","11,588.80","1,178.00","10,920.00","1,284.20","12,202.10","1,303.50","12,390.40"
MATERIALES TEXTILES (TEJIDOS O TELAS),"20,248.90","29,553.60","1,953.60","3,326.20","1,011.70","2,412.60","1,801.60","2,251.30","1,931.90","3,067.30","2,024.90","2,058.20","1,390.90","1,763.90","1,758.70","1,661.90","2,163.00","2,706.30","1,905.30","1,954.40",965.30,"3,526.20","1,829.40","2,665.00","1,512.70","2,160.30"
MELAZAS DE AZUCAR,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MOTA DE ALGODON,167.30,0.00,28.50,0.00,6.40,0.00,10.30,0.00,0.00,0.00,9.90,0.00,9.90,0.00,0.00,0.00,9.10,0.00,18.10,0.00,52.20,0.00,10.70,0.00,12.10,0.00
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",138.40,"6,615.60",3.00,332.90,0.60,508.40,23.30,582.40,6.30,478.10,34.40,521.20,4.90,563.80,9.50,476.70,3.20,525.70,11.20,465.30,1.30,479.30,31.00,"1,039.80",9.60,642.00
NEUMATICOS Y TUBOS,432.20,"9,066.00",38.30,633.50,2.80,567.90,0.30,749.60,102.00,877.10,40.30,988.70,39.90,666.60,0.00,958.30,100.50,800.70,32.30,689.40,1.10,580.30,0.00,620.70,74.70,933.20
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",9.20,12.60,0.10,0.00,0.10,0.40,1.20,0.30,0.30,0.60,2.20,0.30,0.40,7.80,1.00,0.30,0.30,0.20,1.80,1.50,0.00,0.80,0.60,0.30,1.20,0.40
OTRAS MANUFACTURAS DE METALES COMUNES,"4,418.90","78,998.30",56.20,"6,288.20",556.90,"6,288.80",377.40,"7,020.80",407.20,"8,035.10",502.10,"5,743.90",148.90,"5,177.50",530.90,"6,415.60",468.00,"7,851.20",56.50,"6,742.40",316.00,"5,785.30",558.20,"8,085.80",440.70,"5,563.70"
OTROS ACEITES ESENCIALES,701.90,289.10,0.00,2.10,6.00,23.50,24.00,94.80,300.80,9.70,0.00,34.30,23.50,12.80,6.00,0.60,20.40,30.00,9.60,6.20,291.00,26.20,6.00,19.20,14.70,29.80
PAPEL Y CARTON,880.60,"11,592.20",16.70,735.20,30.20,636.60,11.70,530.50,23.20,640.70,10.80,661.70,3.10,722.60,21.00,496.50,19.50,793.50,125.90,"1,337.60",191.80,"1,428.10",101.40,"1,952.70",325.40,"1,656.50"
PESCADO Y MOLUSCOS,0.00,54.50,0.00,0.00,0.00,0.00,0.00,27.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.20,0.00,0.00,0.00,0.00,0.00,0.00
PIELES Y CUEROS,"2,148.10",0.00,229.30,0.00,91.80,0.00,132.50,0.00,193.00,0.00,138.80,0.00,170.90,0.00,207.90,0.00,192.50,0.00,244.40,0.00,183.30,0.00,187.10,0.00,176.80,0.00
PINTURAS Y BARNICES,810.70,"32,209.70",102.00,"2,573.40",74.50,"2,583.70",58.20,"2,356.30",30.00,"2,842.20",106.00,"2,471.40",12.20,"1,633.10",104.90,"2,623.80",56.30,"3,125.90",80.90,"3,319.00",21.80,"2,893.00",105.00,"3,351.80",59.00,"2,435.90"
"POLVORA, EXPLOSIVOS Y ARTICULOS DE PIROTECNIA",0.00,"3,434.50",0.00,0.00,0.00,629.80,0.00,70.60,0.00,392.30,0.00,278.70,0.00,141.7,0.00,442,0.00,39.1,0.00,291.3,0.00,550.3,0.00,85.2,0.00,513.50
PREPARADOS A BASE DE CEREALES,"7,987.70","73,222.00",440.00,"5,790.30",572.80,"6,050.50",761.80,"6,553.90",578.70,"7,188.50",501.50,"5,761.00",433.50,"4,736.80",787.60,"5,186.00",544.00,"7,008.50",682.30,"6,530.70",550.90,"6,099.10",983.80,"6,390.30","1,150.90","5,926.30"
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS","11,070.70","17,175.20",961.90,"1,324.80",980.60,"1,480.60",687.30,"1,474.70",668.40,"1,518.30","1,163.20","1,448.70",825.10,"1,259.90","1,087.80","1,533.60","1,122.40","1,453.60",920.40,"1,224.80",784.90,"1,396.10",873.20,"1,369.40",995.50,"1,690.80"
PREPARADOS DE LEGUMBRES Y HORTALIZAS,329.50,"2,327.20",10.30,107.40,54.40,311.50,15.30,121.00,4.90,130.40,9.50,269.10,54.60,245.90,11.40,129.20,5.00,126.80,48.20,252.20,51.70,256.70,7.50,213.30,56.90,163.80
PREPARADOS DE FRUTAS,"5,200.50","5,586.90",451.50,401.50,808.90,438.30,317.10,474.30,384.60,466.00,163.40,407.10,158.20,558.10,346.70,387.70,388.60,562.20,581.50,602.00,541.00,562.00,698.50,413.50,360.60,314.20
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",616.00,"112,722.00",1.20,"8,270.20",153.60,"7,892.80",133.60,"10,665.70",176.50,"9,194.50",80.40,"10,473.20",0.80,"7,976.70",28.40,"11,035.80",1.90,"10,081.50",11.10,"8,445.90",22.30,"9,242.60",5.00,"10,098.90",1.20,"9,344.10"
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,"3,437.60","135,471.70",566.40,"12,746.70",250.50,"9,519.00",756.00,"11,097.70",428.70,"12,014.80",194.70,"12,752.80",313.60,"9,987.50",179.00,"11,728.50",212.20,"10,047.60",86.60,"9,940.50",153.10,"11,315.50",166.60,"13,545.80",130.10,"10,775.30"
PRODUCTOS FARMACEUTICOS,"2,879.10","79,650.00",64.50,"4,364.00",161.50,"7,792.50",387.10,"10,283.50",97.60,"5,907.00",1.30,"6,607.50",532.90,"5,373.10",266.10,"7,125.90",296.80,"8,022.80",540.90,"4,740.00",0.00,"8,882.80",458.30,"6,339.60",72.00,"4,211.20"
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,0.20,300.40,0.00,4.30,0.00,10.50,0.00,39.60,0.00,25.90,0.00,30.30,0.00,7.90,0.00,9.90,0.00,17.80,0.00,46.40,0.00,18.20,0.20,59.10,0.00,30.40
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",299.90,"2,575.50",0.40,174.00,0.20,282.80,0.30,565.50,2.10,196.00,82.80,138.80,0.70,67.40,6.40,124.70,2.10,200.00,125.90,138.00,25.00,107.70,1.40,196.70,52.70,383.90
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS","3,248.80","24,500.90",165.80,"1,598.80",73.00,"2,393.80",203.30,"1,934.60",276.60,"2,601.90",303.40,"2,545.40",537.50,"1,459.40",349.00,"1,673.00",397.20,"1,601.90",511.80,"1,850.40",121.70,"1,351.00",204.50,"3,210.10",105.10,"2,280.60"
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",127.90,"1,665.70",0.10,23.1,0.10,211.1,0.30,80.50,0.00,215.2,0.20,70.6,23.60,109.6,0.10,80.40,47.30,323.2,0.00,101.1,6.70,291.70,49.40,120.1,0.10,39.2
TABACO ELABORADO,0.00,"2,988.90",0.00,0.00,0.00,424.90,0.00,136.10,0.00,239.9,0.00,96.60,0.00,213.9,0.00,564,0.00,187.6,0.00,189.3,0.00,305.90,0.00,360.70,0.00,270.1
TUBERIA Y SUS ACCESORIOS,"5,242.70","27,242.30",813.30,"1,830.10",543.90,"1,702.70",220.50,"1,486.80",248.50,"1,931.90",191.40,"4,707.00",302.40,"3,284.90",628.10,"1,882.50",680.10,"2,909.70",434.30,"2,775.60",229.40,"1,329.70",306.20,"2,204.20",644.70,"1,197.30"
