	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
LAMINA Y ALAMBRE	0	289.3	0	13.7	0	8.6	0	9.5	0	1.2	0	6.9	0	1.5	0	0.6	0	4.4	0	6.7	0	16.8	0	0.8	0	218.6
LECHE Y OTROS PRODUCTOS LACTEOS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MADERA EN TROZA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANUFACTURAS DE CAUCHO	0	1242.3	0	77.6	0	89.2	0	78.3	0	109.2	0	134	0	94.2	0	80.6	0	74	0	140.9	0	73.1	0	185.1	0	106
MANUFACTURAS DE CERAMICA	0.1	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANUFACTURAS DE CUERO	73.8	0.2	2.6	0	0	0	0	0	12.4	0	43.1	0	1.5	0	8	0	0	0	0.7	0	4.9	0	0.1	0.2	0.4	0
MANUFACTURAS DE MADERA	4.2	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	1.7	0	0	0
MANUFACTURAS DE PAPEL Y CARTON	532.4	94.1	39	5.3	55.9	14.1	72.8	3.3	51.5	1.3	43.3	4.6	36.3	6.6	36.1	4.6	41.1	13.2	33.6	11.5	38.2	15.4	34.3	5	50.4	9.2
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	403.6	3.6	104.4	0	3.1	0	241.5	0	0.1	0	0.6	0	49.9	0	0.8	0	0.7	0	1.7	0	0.3	0	0.5	3.6	0	0
