,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",29.50,"2,894.40",1.20,90.00,0.70,52.10,1.50,281.50,0.00,236.90,0.00,190.80,11.20,132.50,4.00,220.30,9.50,267.30,0.90,588.70,0.00,168.80,0.00,407.80,0.50,257.80
NEUMATICOS Y TUBOS,0.00,"5,959.80",0.00,625.70,0.00,124.90,0.00,425.30,0.00,380.00,0.00,324.30,0.00,562.60,0.00,740.00,0.00,340.50,0.00,771.10,0.00,520.80,0.00,504.20,0.00,640.40
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",4.50,1.10,0.20,0.00,1.00,0.20,0.10,0.00,0.00,0.00,0.00,0.40,1.90,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.40
OTRAS MANUFACTURAS DE METALES COMUNES,849.70,"2,536.30",73.00,164.10,117.30,141.70,0.20,150.00,0.00,198.70,142.30,322.10,79.10,63.40,74.90,183.30,148.50,601.00,143.00,119.50,0.10,250.90,0.00,272.10,71.40,69.50
OTROS ACEITES ESENCIALES,88.00,0.10,16.00,0.00,3.30,0.00,0.00,0.00,18.70,0.10,20.00,0.00,0.00,0.00,7.50,0.00,7.50,0.00,14.60,0.00,0.00,0.00,0.30,0.00,0.00,0.00
PAPEL Y CARTON,0.00,"8,254.60",0.00,793.3,0.00,483.8,0.00,446.10,0.00,622.6,0.00,771.9,0.00,835.1,0.00,943.80,0.00,815.90,0.00,"1,076.40",0.00,812.40,0.00,331.90,0.00,321.40
PINTURAS Y BARNICES,50.90,"1,615.60",0.00,79.20,0.00,75.20,0.00,302.90,0.00,130.00,50.90,135.70,0.00,174.90,0.00,110.60,0.00,358.90,0.00,29.70,0.00,67.00,0.10,108.50,0.00,43.00
PREPARADOS A BASE DE CEREALES,0.90,735.70,0.00,4.40,0.10,26.30,0.10,109.30,0.00,50.80,0.00,34.90,0.20,136.20,0.00,78.00,0.10,55.80,0.50,22.00,0.00,90.00,0.00,94.90,0.00,33.00
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",0.00,639.10,0.00,76.10,0.00,46.30,0.00,92.80,0.00,95.00,0.00,0.00,0.00,79.80,0.00,82.70,0.00,24.20,0.00,71.50,0.00,46.90,0.00,0.00,0.00,23.80
PREPARADOS DE LEGUMBRES Y HORTALIZAS,0.00,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.10,0.00,0.00,0.00,5.60,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00
