	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	13564.9	6141.5	1273.9	608	1045.6	338.4	1197.8	412.1	1039.8	544	1101.8	431.8	999.1	417.7	1159.8	684.1	1119.4	427	1074.9	555.3	1143.5	640.5	1374.2	566.1	1035	516.5
PRODUCTOS FARMACEUTICOS	40813.6	19029.8	1925.8	1452.5	3981.2	1752.4	3012.8	1259.8	2180.9	1855.7	3851	1239	4016.6	1604	4058.2	1141	3887.6	1474.2	3046	2026.5	3323.1	2139.3	3430.2	1766.5	4100.1	1318.9
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	52.5	407.3	3.7	55.8	1.9	23.3	3.5	6.9	1.6	29.1	4.7	34.6	5.2	7.5	4.4	29	0.8	32.8	16.5	0.5	2.9	55.1	5.5	84.1	1.8	48.6
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	154.8	1146.3	2.7	85.5	18.3	80.1	21	167.9	7	54.4	24.2	120	3.5	39.5	11.5	77.6	1.8	91.2	15.8	73	21.1	126.1	18	161.5	9.8	69.3
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	15911.6	586.4	1327.5	15.3	1164.6	25.7	1521.2	60.4	1063.4	28.5	1337.6	63.9	1341.2	46.4	1189.1	10.6	1333.4	55.5	1205.3	19.7	1311.9	137.5	1658.6	51.5	1457.9	71.3
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	37.5	27.4	0	0.1	6.3	2	1.9	0.9	5.5	1.7	3.9	1.3	0.1	2.2	10.2	0.6	2.8	1.6	2.8	7.6	3.5	0.4	0.1	4	0.3	5
TABACO ELABORADO	66.2	113.5	42.7	0	0.4	0	7.6	20.9	0.1	22.9	8.3	0	1.2	0	0.1	9	0.6	0	0.1	0	0.1	2.9	3.7	0	1.3	57.9
TUBERIA Y SUS ACCESORIOS	1704.4	3205.8	70	154.4	108.1	225.8	271.1	302.9	148	335.7	153.7	369.9	135.3	368.6	120	314.7	107.6	230.4	175.9	266	227.4	315.4	131.9	151.7	55.3	170.1
VEHICULOS Y MATERIAL DE TRANSPORTE	1080.8	2311.4	41.2	287.7	130.5	69.9	59.2	87.8	121.4	129.1	85.6	320.3	52.5	167.5	94.5	185	75.6	223	63.7	305.2	18	29.4	202.5	171.9	136.1	334.7
VIDRIO Y SUS MANUFACTURAS	9457	1596.9	683.2	61.9	1843.6	98.7	1369.3	86.7	917.3	73.4	865.8	17	751.1	44.4	370.1	307.4	270.7	140.5	356.8	163.1	911.1	185.5	393.4	251.8	724.6	166.5
