	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
MADERA EN TROZA	9.7	95.6	0	6.8	0	0	0	17.1	0	18.6	0	0	1.8	12.2	0	0	0	13.5	3.6	15.6	2.1	11.7	2.1	0	0.1	0
MANUFACTURAS DE CAUCHO	10527.9	4305.9	977.7	121.2	753.4	370.8	700.9	392.6	930.3	269.3	1062.9	401	807.3	285.9	1059.7	526.3	964.3	233	767.9	303.7	907.3	62.3	900.1	644	696.1	695.8
MANUFACTURAS DE CERAMICA	3226	8355.8	302.3	874.7	289.6	674.7	294.2	396.6	307.2	839.9	294.6	860.7	213.2	646.5	281.5	513.4	254.4	588.4	250.2	940	214.2	852.6	288.9	610.2	235.7	558.1
MANUFACTURAS DE CUERO	1478.6	14019.5	76	987.5	106.2	1187.4	75.2	1028.6	105.3	1218.9	87.2	1115.9	121.7	1065.8	318.7	1752.9	113.3	1204	75	806.6	159.5	2124.3	160.9	671.6	79.5	855.9
MANUFACTURAS DE MADERA	4853.8	23630.7	459.1	1445.8	426.9	1267.8	476.1	2211.1	469	1018.1	387.9	2792.8	293.7	1919.1	516.6	1369	572.9	2263	327.6	2484.1	226.4	2723	322.5	2781.3	375.1	1355.5
MANUFACTURAS DE PAPEL Y CARTON	81277.2	24191.7	6585.8	2149.8	6832	1709.8	5890.3	2628.2	7316	1145	6038.9	2284	5563.1	793.5	6003.7	705.2	6524.3	2745.7	5470.6	5299.8	7624.3	1635.7	10228.8	1596.4	7199.4	1498.6
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	1432.1	2399.9	77.6	358.9	99.2	62.3	140.4	59.7	149.2	290.2	196.3	156.7	121.7	303.4	116.8	190.2	89.4	175.2	76.6	205.8	127.3	193.7	123.9	168.3	113.6	235.4
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	2800.2	49661.3	121.2	2971	249.9	3270.2	137	3726.7	238.6	5954	329	4552.3	226.1	2188	110.5	5356.1	233.5	2677.8	243.1	5203	236.1	7031.6	308.7	3836	366.6	2894.5
MANUFACTURAS DE PIELES	240.6	344.3	0.6	0	0.2	56.6	5.7	43.2	1	111	22.1	106.1	83.3	20.3	78.8	7.1	37.7	0	0.3	0	4.9	0	4.2	0	1.9	0
MANUFACTURAS DIVERSAS	48703.7	1614.4	3984.4	149.1	3857.7	102.6	4143.9	55	4322.7	99	4045.9	146.9	4149.8	436.3	4079	27.5	3694.1	98.4	3642.9	174.6	4329.3	263.9	4163.6	52.4	4290.4	8.6
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	372753.9	9126.6	30170.8	136.6	30679.1	462.1	25525.1	149.5	36715.4	633.7	38778.7	136.6	31899	664.5	27354.6	456.6	30830.6	198.7	26127.8	279.7	36819.3	266.1	31297.7	125.9	26555.8	5616.8
MATERIALES PLASTICOS Y SUS MANUFACTURAS	176613.8	7219.9	14779.8	724.8	12749.1	290.9	11594.1	360.7	16836.1	1325.8	18529.8	635.6	16036	306.7	13657.8	384.3	15452.4	474.4	14325.5	1078.2	15264.7	535.2	15639.5	434.9	11748.9	668.5
MATERIALES TEXTILES (TEJIDOS O TELAS)	296901	6749.9	19853.1	573.7	21058	600.6	18147.7	270.7	31227.4	1094	31295.3	500.4	29617.8	431.9	24173.6	532.1	24566.8	628.3	24610.8	466.2	27028.1	851.2	25622.3	391.7	19700.1	409.1
MELAZAS DE AZUCAR	0	15879.2	0	0	0	2593.1	0	0	0	0	0	2774.5	0	1039.3	0	8541.6	0	0	0	0	0	930.8	0	0	0	0
MOTA DE ALGODON	244.7	0	5.4	0	8.4	0	5.9	0	6.1	0	43.8	0	21.6	0	11.3	0	25.1	0	70.8	0	33.7	0	0	0	12.4	0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	11748.1	6365.6	877.9	669.9	735.4	558.3	779.2	328.2	790	618.4	895.1	1024.5	1000.2	56.4	1114.9	852.9	869.1	578	1096.4	489.3	1422.5	370.1	1149.2	677.6	1018.1	142
NEUMATICOS Y TUBOS	24742.5	781.3	1884.2	0	2053.3	45.2	1752.8	0.5	3188	273.7	1980.9	131.7	1995.2	100.1	1898.4	43.5	1970.7	96.2	2042	46.8	2263.3	28.9	2040.6	14.7	1673.3	0.2
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	289.3	21.1	16.5	0.9	4.8	0.3	7.3	0.9	23.4	0.8	144.6	3.6	6.6	2.1	23.6	2.1	8.2	4.5	11.3	0.3	10.3	2.8	10.6	1.9	22.1	0.7
OTRAS MANUFACTURAS DE METALES COMUNES	27509.5	2077.6	1799	3	2979.5	400.3	1352.7	7.7	1848.4	110.2	2552.3	318.7	2497.4	54.8	2793	62.9	2017.9	210.3	2324.3	280.1	2527.8	268.2	2607.2	280.2	2210	81.2
OTROS ACEITES ESENCIALES	7565.2	486.3	493.1	0.2	596.5	104.1	541.1	0	933.8	50.6	647.3	0	750.2	55.8	462.9	49.5	1102.8	44.4	448.3	97.1	712.2	68.3	534.6	11	342.5	5.4
PAPEL Y CARTON	97174.1	8	7049.3	0.4	8335.6	0	9110.4	0	9849.3	0	6644.5	0	6270.9	5.5	6954.9	0.1	8356.1	1.1	7883.9	0.4	10734.3	0.3	9731.3	0.1	6253.6	0
PESCADO Y MOLUSCOS	766.3	1932	63	35.9	84	21.1	5	60.7	79.8	60.3	47.1	249.6	45.6	222.9	84.6	302.7	88.7	347.1	42.2	283.6	84.3	271.3	99.7	38.9	42.5	38
PIELES Y CUEROS	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
PINTURAS Y BARNICES	27846.4	89	1971.5	14.8	2079.1	11.6	1831.5	11.3	2627.7	18.8	1895.4	0	2802.9	0	2138.5	10.2	2189.3	0	2607	4.6	2980	0	2413.6	17.6	2309.9	0
"POLVORA, EXPLOSIVOS Y ARTICULOS DE PIROTECNIA"	56.4	0	0	0	0	0	0	0	3.3	0	20.8	0	7.9	0	0.9	0	0.9	0	2.6	0	0	0	20	0	0	0
PREPARADOS A BASE DE CEREALES	18171.1	1622.4	1421.4	15.3	1418.8	46.4	1464.5	20.9	2070.8	62.5	1770.8	152.5	1477.5	11.1	1369.7	197.7	1228.7	115.1	1279.7	614.9	2377.4	148.2	1237.7	109.8	1054.1	128.1
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	16563.5	5724.1	1336	925.4	1289.7	280.5	1133.2	388.8	1302.8	256.3	1226.9	252.6	1241.4	377.3	1339	513.8	1497.4	484.3	1392.1	289.8	1698.6	761.7	1550.2	522.3	1556.1	671.2
PREPARADOS DE LEGUMBRES Y HORTALIZAS	8154.1	4829.3	1059.1	602.2	1431.2	286.1	752.4	193.3	600.9	354.4	668.5	506.3	333.6	313.6	751.4	319.1	592.7	501.1	428	712.3	469.8	502.1	553	244.4	513.6	294.3
PREPARADOS DE FRUTAS	5641.4	2121.6	580.9	179.4	328.7	56.1	543.3	7.7	638.3	140.5	458.9	57.9	176	59	486.3	109	503.2	547	275.1	392.2	645.1	196.3	603.1	119.3	402.5	257.4
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	17698.1	1874.7	1819.9	35.4	1522.5	76.8	1215.4	362.5	1752.3	176.5	1775	197.9	871.2	19.7	1353.6	138.2	1498.4	217.6	1551.9	136.3	1717.4	158.9	1639	110.2	981.6	244.9
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	84676.9	3983.1	7545.9	2558	5474.6	403.3	5065.1	99.9	7649	246.9	7910.4	39.6	6441.6	44.6	7369.1	199	8089.2	78.4	7786.9	31	8759.5	53.4	7020.3	73.3	5565.2	155.8
PRODUCTOS FARMACEUTICOS	27271.5	1460.8	5225.2	54	1696.2	58	2433.5	77.2	1623.3	80.4	1460.8	67.4	3033.2	3.7	1891.1	110.9	1427.9	166	3197.7	10.9	1583.4	142.6	1430.3	366.2	2269	323.8
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	12404.1	2.6	868.3	0.2	1067	0.1	980.7	0	1195	0	1015.1	0	994.5	0	958.8	0	1066.2	0	1184.6	0	978.7	0	1126.1	0	968.9	2.3
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	3643.6	10062.4	304.9	363.3	268.7	655.4	155.3	598.5	357.9	1617.5	238.9	442.3	330.5	967.1	246.2	706.1	307.6	871.2	511.5	961.1	359.6	1061	235.2	459	327.3	1359.7
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	3313.4	210.7	211.8	10.3	306.1	3.4	234.5	17	284.4	0	337.9	1	354.2	124.5	171.6	4.3	237.3	2.1	398.7	17.9	265.7	22.2	317.4	5.5	193.8	2.5
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	713.3	1735.9	33.7	196.2	121.7	115.4	54.6	24	81.9	54.8	68.8	55.4	57.3	232	70.7	310.6	24	232.2	52.4	259.6	36.7	212.3	63	33.5	48.5	10
TABACO ELABORADO	16.1	0	4.2	0	0.1	0	0.6	0	1.2	0	0	0	5.7	0	0	0	0	0	0.4	0	2.1	0	0	0	1.9	0
TUBERIA Y SUS ACCESORIOS	17043	864.7	1461	239.9	1210.6	0	1204.7	14.6	1088.9	0	1501.3	211.5	1602.6	0	1685.4	107.7	2000.7	88.1	1360.6	70.9	1668.5	0.4	1119.6	131.3	1139.2	0.3
VEHICULOS Y MATERIAL DE TRANSPORTE	380568.6	1251.3	23551.6	218	24383.7	8.1	29116.6	39.7	28489.2	69.4	29983.2	92.5	29931.6	34.1	32270	220.4	32063	212	31203.9	62.9	37482	234.4	36395.9	40.2	45697.9	19.6
VIDRIO Y SUS MANUFACTURAS	8413	866	617	0.2	628.2	0.2	638.9	159.3	880.6	0.1	932.1	3.1	877.6	12.5	781.8	5	655.4	43.8	615.6	65.1	591.5	221.6	654.6	351.4	539.7	3.9
INDUSTRIAS EXTRACTIVAS	577331.2	152870.1	51765.7	7561.1	41417.8	9553.2	39298.5	8612.4	58415.3	7614.5	47204.6	16238.1	51399.6	11950.3	59681.5	11472.3	46594.1	12813.9	48321	21632.4	47430	22439.4	37712.3	8784.8	48090.8	14197.7
ALUMINIO	7111.2	2561.2	626.4	344.7	742.6	413	440.1	7	805.5	173	673.5	154.2	762.3	40.6	289.8	120.7	675.5	446.1	782.5	58.8	496.4	42.3	379	601.6	437.7	159.2
ASFALTO	356.2	0	50.2	0	22.6	0	10.4	0	27.5	0	19.5	0	22.1	0	25.4	0	39.6	0	35.4	0	25.9	0	67.9	0	9.7	0
